id,gtin,upc
"1726234201062x583234970854096900","4005556224265",""
"1727169386342x877624262813810700","4008789715302",""
"1726233736577x610465119403507700","4005556228881",""
"1726232707787x705320634169425900","9783473409136",""
"1726232707787x705320634169425900","9783473409136",""
"1726232707787x705320634169425900","9783473409136",""
"1726662970976x285345044292960260","0810083046082",""
"1726233736577x610465119403507700","4005556228881",""
"1726233581258x315123138826600450","4005556224609",""
"1726233736577x610465119403507700","4005556228881",""
"1726233581258x315123138826600450","4005556224609",""
"1726233581258x315123138826600450","4005556224609",""
"1726233055921x258464349656186880","4005556226870",""
"1726233900546x860450063901261800","4005556268375",""
"1726233055921x258464349656186880","4005556226870",""
"1726234592789x744028806528892900","9783473463381",""
"1726233900546x860450063901261800","4005556268375",""
"1726233900546x860450063901261800","4005556268375",""
"1726234592789x744028806528892900","9783473463381",""
"1726234592789x744028806528892900","9783473463381",""
"1726234438558x149946396932046850","9783473480746",""
"1726234438558x149946396932046850","9783473480746",""
"1726234438558x149946396932046850","9783473480746",""
"1726055733314x902859727093366800","4260022694168",""
"1726233379947x302601464498618400","4005556239160",""
"1726233379947x302601464498618400","4005556239160",""
"1726233379947x302601464498618400","4005556239160",""
"1680601473665x595434436983521300","5025155071458",""
"1724843066838x774243171913695200","7640184590138",""
"1722947664881x946988204642795500","7640184590404",""
"1728303829490x224199667433865200","759454301019",""
"1726234041767x446438060102516740","4005556175628",""
"1728303829490x224199667433865200","759454301019",""
"1728303987802x899765407893160000","759454301040",""
"1728303987802x899765407893160000","759454301040",""
"1728303829490x224199667433865200","759454301019",""
"1728303987802x899765407893160000","759454301040",""
"1725874598127x331146581127200800","3030050194128",""
"1725874598127x331146581127200800","3030050194128",""
"1726234041767x446438060102516740","4005556175628",""
"1725874598127x331146581127200800","3030050194128",""
"1727871626027x328899281189863400","7640184590541",""
"1727871626027x328899281189863400","7640184590541",""
"1727871626027x328899281189863400","7640184590541",""
"1727872210317x437755093378400260","7640184590527",""
"1727872328942x299704359984824300","7640184595058",""
"1727872210317x437755093378400260","7640184590527",""
"1727872328942x299704359984824300","7640184595058",""
"1727872556704x409430500301340700","7640184595775",""
"1727872328942x299704359984824300","7640184595058",""
"1727871883849x590819465452585000","7640184591166",""
"1727871883849x590819465452585000","7640184591166",""
"1727872556704x409430500301340700","7640184595775",""
"1727872556704x409430500301340700","7640184595775",""
"1724843356128x311760385085538300","7640184595669",""
"1727872433801x891356204929122300","7640184591517",""
"1727872433801x891356204929122300","7640184591517",""
"1727872328942x299704359984824300","7640184595058",""
"1727872665861x682207931459174400","7640184595164",""
"1727872433801x891356204929122300","7640184591517",""
"1725352292409x341561961670508540","8720689034807",""
"1725352292409x341561961670508540","8720689034807",""
"1726667445430x199587560055635970","7630053553784",""
"1726667445430x199587560055635970","7630053553784",""
"1726662502139x648997360019701800","3558380102649",""
"1727872556704x409430500301340700","7640184595775",""
"1726662502139x648997360019701800","3558380102649",""
"1727872556704x409430500301340700","7640184595775",""
"1727872210317x437755093378400260","7640184590527",""
"1729001126254x497561708167430140","7640184596239",""
"1727872556704x409430500301340700","7640184595775",""
"1729001770238x491239020367446000","7640184590176",""
"1729598492516x323452139030446100","7640184595638",""
"1729001770238x491239020367446000","7640184590176",""
"1729001126254x497561708167430140","7640184596239",""
"1729001770238x491239020367446000","7640184590176",""
"1729598492516x323452139030446100","7640184595638",""
"1729598492516x323452139030446100","7640184595638",""
"1729598073063x836791020144820200","7640184591272",""
"1719499565378x136425042321080320","4548736159730",""
"1719499565378x136425042321080320","4548736159730",""
"1719499565378x136425042321080320","4548736159730",""
"1729598073063x836791020144820200","7640184591272",""
"1731099543853x771708386170372100","4250231739323",""
"1731099927733x162148885436825600","17754",""
"1729597534044x594051924888125400","7610045010440",""
"1715863863377x816551560848343000","16971",""
